GO term	COGs	GO term name	Number of COGs	IC	SuperCOGs	Number of SuperCOGs
GO:0000077	{'T'}	DNA damage checkpoint signaling	1	9.7125	{'supercog1'}	1
GO:0000079	{'O', 'T'}	regulation of cyclin-dependent protein serine/threonine kinase activity	2	9.5877	{'supercog1'}	1
GO:0000082	{'D'}	G1/S transition of mitotic cell cycle	1	9.3632	{'supercog1'}	1
GO:0000086	{'D'}	G2/M transition of mitotic cell cycle	1	9.5169	{'supercog1'}	1
GO:0000096	{'C'}	sulfur amino acid metabolic process	1	6.8282	{'supercog2'}	1
GO:0000097	{'H'}	sulfur amino acid biosynthetic process	1	6.932	{'supercog2'}	1
GO:0000098	{'C', 'H'}	sulfur amino acid catabolic process	2	11.798	{'supercog2'}	1
GO:0000099	{'E'}	sulfur amino acid transmembrane transporter activity	1	13.832	{'supercog2'}	1
GO:0000101	{'E'}	sulfur amino acid transport	1	10.9205	{'supercog2'}	1
GO:0000103	{'C'}	sulfate assimilation	1	9.0444	{'supercog2'}	1
GO:0000104	{'C'}	succinate dehydrogenase activity	1	10.9859	{'supercog2'}	1
GO:0000105	{'C', 'H'}	histidine biosynthetic process	2	6.5053	{'supercog2'}	1
GO:0000118	{'Y'}	histone deacetylase complex	1	10.0295	{'supercog3'}	1
GO:0000121	{'C'}	glycerol-1-phosphatase activity	1	15.4169	{'supercog2'}	1
GO:0000122	{'K'}	negative regulation of transcription by RNA polymerase II	1	7.798	{'supercog3'}	1
GO:0000123	{'B'}	histone acetyltransferase complex	1	9.5554	{'supercog3'}	1
GO:0000124	{'O', 'Y'}	SAGA complex	2	11.5661	{'supercog3', 'supercog1'}	2
GO:0000126	{'O'}	transcription factor TFIIIB complex	1	13.1799	{'supercog1'}	1
GO:0000137	{'U', 'M'}	Golgi cis cisterna	2	12.6393	{'supercog1'}	1
GO:0000138	{'U', 'M'}	Golgi trans cisterna	2	13.3174	{'supercog1'}	1
GO:0000139	{'U', 'M'}	Golgi membrane	2	7.594	{'supercog1'}	1
GO:0000148	{'M'}	1,3-beta-D-glucan synthase complex	1	14.7648	{'supercog1'}	1
GO:0000149	{'U'}	SNARE binding	1	10.0197	{'supercog1'}	1
GO:0000150	{'B', 'L'}	recombinase activity	2	10.0644	{'supercog3'}	1
GO:0000151	{'O'}	ubiquitin ligase complex	1	8.6244	{'supercog1'}	1
GO:0000152	{'O', 'Y'}	nuclear ubiquitin ligase complex	2	10.9297	{'supercog3', 'supercog1'}	2
GO:0000154	{'A', 'J'}	rRNA modification	2	6.5079	{'supercog3'}	1
GO:0000155	{'T'}	phosphorelay sensor kinase activity	1	9.4041	{'supercog1'}	1
GO:0000156	{'T'}	phosphorelay response regulator activity	1	10.0197	{'supercog1'}	1
GO:0000160	{'T'}	phosphorelay signal transduction system	1	7.6582	{'supercog1'}	1
GO:0000162	{'C'}	tryptophan biosynthetic process	1	7.4478	{'supercog2'}	1
GO:0000164	{'O'}	protein phosphatase type 1 complex	1	13.4169	{'supercog1'}	1
GO:0000165	{'T'}	MAPK cascade	1	7.3898	{'supercog1'}	1
GO:0000166	{'F'}	nucleotide binding	1	2.0266	{'supercog2'}	1
GO:0000170	{'C'}	sphingosine hydroxylase activity	1	18.2243	{'supercog2'}	1
GO:0000175	{'A'}	3'-5'-exoribonuclease activity	1	8.9787	{'supercog3'}	1
GO:0000176	{'O', 'Y'}	nuclear exosome (RNase complex)	2	11.6544	{'supercog3', 'supercog1'}	2
GO:0000177	{'O'}	cytoplasmic exosome (RNase complex)	1	11.4694	{'supercog1'}	1
GO:0000178	{'O'}	exosome (RNase complex)	1	10.2187	{'supercog1'}	1
GO:0000179	{'A', 'J', 'H'}	rRNA (adenine-N6,N6-)-dimethyltransferase activity	3	9.3632	{'supercog3', 'supercog2'}	2
GO:0000183	{'B', 'J'}	rDNA heterochromatin formation	2	12.0745	{'supercog3'}	1
GO:0000184	{'A', 'K'}	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay	2	10.3234	{'supercog3'}	1
GO:0000187	{'R'}	activation of MAPK activity	1	9.8536	{'general function'}	1
GO:0000209	{'O'}	protein polyubiquitination	1	9.1079	{'supercog1'}	1
GO:0000212	{'D'}	meiotic spindle organization	1	11.7648	{'supercog1'}	1
GO:0000214	{'O', 'Y'}	tRNA-intron endonuclease complex	2	13.5238	{'supercog3', 'supercog1'}	2
GO:0000217	{'B'}	DNA secondary structure binding	1	11.5661	{'supercog3'}	1
GO:0000221	{'U'}	vacuolar proton-transporting V-type ATPase, V1 domain	1	12.8667	{'supercog1'}	1
GO:0000225	{'C'}	N-acetylglucosaminylphosphatidylinositol deacetylase activity	1	15.9023	{'supercog2'}	1
GO:0000226	{'Z'}	microtubule cytoskeleton organization	1	7.4727	{'supercog1'}	1
GO:0000228	{'B'}	nuclear chromosome	1	6.9412	{'supercog3'}	1
GO:0000242	{'Z'}	pericentriolar material	1	13.3663	{'supercog1'}	1
GO:0000245	{'J'}	spliceosomal complex assembly	1	10.5238	{'supercog3'}	1
GO:0000247	{'I'}	C-8 sterol isomerase activity	1	16.6393	{'supercog2'}	1
GO:0000250	{'Q'}	lanosterol synthase activity	1	12.1368	{'supercog2'}	1
GO:0000257	{'C'}	nitrilase activity	1	13.9763	{'supercog2'}	1
GO:0000266	{'R'}	mitochondrial fission	1	11.4169	{'general function'}	1
GO:0000268	{'T'}	peroxisome targeting sequence binding	1	13.9763	{'supercog1'}	1
GO:0000270	{'G'}	peptidoglycan metabolic process	1	6.0021	{'supercog2'}	1
GO:0000271	{'G'}	polysaccharide biosynthetic process	1	6.8574	{'supercog2'}	1
GO:0000272	{'G'}	polysaccharide catabolic process	1	7.3539	{'supercog2'}	1
GO:0000275	{'O', 'M'}	mitochondrial proton-transporting ATP synthase complex, catalytic sector F(1)	2	12.1368	{'supercog1'}	1
GO:0000276	{'O', 'M'}	mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)	2	11.9955	{'supercog1'}	1
GO:0000278	{'Y'}	mitotic cell cycle	1	6.6045	{'supercog3'}	1
GO:0000280	{'Y'}	nuclear division	1	7.5536	{'supercog3'}	1
GO:0000281	{'D'}	mitotic cytokinesis	1	9.5378	{'supercog1'}	1
GO:0000287	{'P'}	magnesium ion binding	1	4.3087	{'supercog2'}	1
GO:0000288	{'A', 'K'}	nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay	2	9.7731	{'supercog3'}	1
GO:0000289	{'A', 'K'}	nuclear-transcribed mRNA poly(A) tail shortening	2	10.7007	{'supercog3'}	1
GO:0000290	{'A'}	deadenylation-dependent decapping of nuclear-transcribed mRNA	1	12.095	{'supercog3'}	1
GO:0000291	{'A', 'K'}	nuclear-transcribed mRNA catabolic process, exonucleolytic	2	10.9297	{'supercog3'}	1
GO:0000293	{'C'}	ferric-chelate reductase activity	1	13.832	{'supercog2'}	1
GO:0000295	{'F'}	adenine nucleotide transmembrane transporter activity	1	12.3914	{'supercog2'}	1
GO:0000302	{'T'}	response to reactive oxygen species	1	7.6133	{'supercog1'}	1
GO:0000303	{'T'}	response to superoxide	1	8.8711	{'supercog1'}	1
GO:0000305	{'T'}	response to oxygen radical	1	8.8601	{'supercog1'}	1
GO:0000307	{'O'}	cyclin-dependent protein kinase holoenzyme complex	1	10.3054	{'supercog1'}	1
GO:0000313	{'J'}	organellar ribosome	1	8.7204	{'supercog3'}	1
GO:0000314	{'J'}	organellar small ribosomal subunit	1	10.0695	{'supercog3'}	1
GO:0000315	{'J'}	organellar large ribosomal subunit	1	9.51	{'supercog3'}	1
GO:0000322	{'U'}	storage vacuole	1	9.5986	{'supercog1'}	1
GO:0000323	{'U'}	lytic vacuole	1	7.3764	{'supercog1'}	1
GO:0000324	{'U'}	fungal-type vacuole	1	9.7567	{'supercog1'}	1
GO:0000325	{'U'}	plant-type vacuole	1	11.2935	{'supercog1'}	1
GO:0000326	{'U'}	protein storage vacuole	1	12.9389	{'supercog1'}	1
GO:0000328	{'U'}	fungal-type vacuole lumen	1	13.832	{'supercog1'}	1
GO:0000329	{'U'}	fungal-type vacuole membrane	1	10.4627	{'supercog1'}	1
GO:0000338	{'O'}	protein deneddylation	1	11.8844	{'supercog1'}	1
GO:0000339	{'A'}	RNA cap binding	1	11.0246	{'supercog3'}	1
GO:0000340	{'A'}	RNA 7-methylguanosine cap binding	1	12.1582	{'supercog3'}	1
GO:0000373	{'A'}	Group II intron splicing	1	13.7648	{'supercog3'}	1
GO:0000375	{'A'}	RNA splicing, via transesterification reactions	1	7.7597	{'supercog3'}	1
GO:0000377	{'A'}	RNA splicing, via transesterification reactions with bulged adenosine as nucleophile	1	7.772	{'supercog3'}	1
GO:0000380	{'A'}	alternative mRNA splicing, via spliceosome	1	10.4761	{'supercog3'}	1
GO:0000381	{'A', 'K'}	regulation of alternative mRNA splicing, via spliceosome	2	10.6393	{'supercog3'}	1
GO:0000387	{'J'}	spliceosomal snRNP assembly	1	10.8667	{'supercog3'}	1
GO:0000393	{'J'}	spliceosomal conformational changes to generate catalytic conformation	1	12.1368	{'supercog3'}	1
GO:0000394	{'A'}	RNA splicing, via endonucleolytic cleavage and ligation	1	10.4364	{'supercog3'}	1
GO:0000398	{'A'}	mRNA splicing, via spliceosome	1	7.7928	{'supercog3'}	1
GO:0000400	{'L'}	four-way junction DNA binding	1	12.6096	{'supercog3'}	1
GO:0000403	{'B'}	Y-form DNA binding	1	12.9763	{'supercog3'}	1
GO:0000407	{'V'}	phagophore assembly site	1	9.7855	{'supercog1'}	1
GO:0000413	{'O'}	protein peptidyl-prolyl isomerization	1	8.0745	{'supercog1'}	1
GO:0000421	{'U'}	autophagosome membrane	1	11.4299	{'supercog1'}	1
GO:0000422	{'O'}	autophagy of mitochondrion	1	9.9389	{'supercog1'}	1
GO:0000423	{'O'}	mitophagy	1	13.2701	{'supercog1'}	1
GO:0000425	{'O'}	pexophagy	1	14.6393	{'supercog1'}	1
GO:0000428	{'O'}	DNA-directed RNA polymerase complex	1	8.9716	{'supercog1'}	1
GO:0000439	{'O', 'Y'}	transcription factor TFIIH core complex	2	11.9955	{'supercog3', 'supercog1'}	2
GO:0000447	{'J'}	endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	1	11.2019	{'supercog3'}	1
GO:0000459	{'R'}	exonucleolytic trimming involved in rRNA processing	1	11.7648	{'general function'}	1
GO:0000460	{'J'}	maturation of 5.8S rRNA	1	9.4964	{'supercog3'}	1
GO:0000462	{'J'}	maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	1	9.7244	{'supercog3'}	1
GO:0000463	{'J'}	maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	1	10.01	{'supercog3'}	1
GO:0000466	{'J'}	maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	1	9.5554	{'supercog3'}	1
GO:0000467	{'J'}	exonucleolytic trimming to generate mature 3'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	1	11.8492	{'supercog3'}	1
GO:0000469	{'R'}	cleavage involved in rRNA processing	1	10.0847	{'general function'}	1
GO:0000470	{'J'}	maturation of LSU-rRNA	1	9.6544	{'supercog3'}	1
GO:0000472	{'J'}	endonucleolytic cleavage to generate mature 5'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	1	11.7007	{'supercog3'}	1
GO:0000478	{'R'}	endonucleolytic cleavage involved in rRNA processing	1	10.7405	{'general function'}	1
GO:0000479	{'J'}	endonucleolytic cleavage of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	1	10.7813	{'supercog3'}	1
GO:0000480	{'J'}	endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	1	11.7007	{'supercog3'}	1
GO:0000491	{'J'}	small nucleolar ribonucleoprotein complex assembly	1	11.9575	{'supercog3'}	1
GO:0000492	{'J'}	box C/D snoRNP assembly	1	12.4169	{'supercog3'}	1
GO:0000502	{'O'}	proteasome complex	1	7.9493	{'supercog1'}	1
GO:0000506	{'O', 'M'}	glycosylphosphatidylinositol-N-acetylglucosaminyltransferase (GPI-GnT) complex	2	16.6393	{'supercog1'}	1
GO:0000702	{'B'}	oxidized base lesion DNA N-glycosylase activity	1	9.5554	{'supercog3'}	1
GO:0000703	{'B'}	oxidized pyrimidine nucleobase lesion DNA N-glycosylase activity	1	13.2243	{'supercog3'}	1
GO:0000712	{'D'}	resolution of meiotic recombination intermediates	1	11.8149	{'supercog1'}	1
GO:0000719	{'L'}	photoreactive repair	1	14.7648	{'supercog3'}	1
GO:0000721	{'C'}	(R,R)-butanediol dehydrogenase activity	1	16.2243	{'supercog2'}	1
GO:0000723	{'B'}	telomere maintenance	1	9.1315	{'supercog3'}	1
GO:0000724	{'L'}	double-strand break repair via homologous recombination	1	8.9137	{'supercog3'}	1
GO:0000725	{'L'}	recombinational repair	1	8.7959	{'supercog3'}	1
GO:0000726	{'R'}	non-recombinational repair	1	9.8492	{'general function'}	1
GO:0000727	{'L'}	double-strand break repair via break-induced replication	1	11.5378	{'supercog3'}	1
GO:0000730	{'L', 'B', 'O'}	DNA recombinase assembly	3	12.6096	{'supercog3', 'supercog1'}	2
GO:0000731	{'L'}	DNA synthesis involved in DNA repair	1	10.6929	{'supercog3'}	1
GO:0000737	{'R'}	DNA catabolic process, endonucleolytic	1	10.9114	{'general function'}	1
GO:0000738	{'R'}	DNA catabolic process, exonucleolytic	1	12.095	{'general function'}	1
GO:0000746	{'R'}	conjugation	1	10.2995	{'general function'}	1
GO:0000747	{'D'}	conjugation with cellular fusion	1	10.7896	{'supercog1'}	1
GO:0000768	{'D'}	syncytium formation by plasma membrane fusion	1	11.2585	{'supercog1'}	1
GO:0000775	{'B'}	chromosome, centromeric region	1	8.5221	{'supercog3'}	1
GO:0000776	{'Z'}	kinetochore	1	9.0345	{'supercog1'}	1
GO:0000777	{'R'}	condensed chromosome kinetochore	1	9.4364	{'general function'}	1
GO:0000778	{'R'}	condensed nuclear chromosome kinetochore	1	10.8064	{'general function'}	1
GO:0000779	{'B'}	condensed chromosome, centromeric region	1	9.3355	{'supercog3'}	1
GO:0000781	{'B'}	chromosome, telomeric region	1	9.0543	{'supercog3'}	1
GO:0000782	{'O'}	telomere cap complex	1	12.3416	{'supercog1'}	1
GO:0000785	{'B'}	chromatin	1	7.1249	{'supercog3'}	1
GO:0000786	{'B', 'O'}	nucleosome	2	9.4396	{'supercog3', 'supercog1'}	2
GO:0000792	{'B'}	heterochromatin	1	10.3416	{'supercog3'}	1
GO:0000793	{'B'}	condensed chromosome	1	8.6022	{'supercog3'}	1
GO:0000794	{'B'}	condensed nuclear chromosome	1	9.584	{'supercog3'}	1
GO:0000795	{'B'}	synaptonemal complex	1	11.9955	{'supercog3'}	1
GO:0000808	{'B', 'O'}	origin recognition complex	2	12.1582	{'supercog3', 'supercog1'}	2
GO:0000810	{'C'}	diacylglycerol diphosphate phosphatase activity	1	16.6393	{'supercog2'}	1
GO:0000811	{'B', 'Y'}	GINS complex	2	12.5804	{'supercog3'}	1
GO:0000819	{'B'}	sister chromatid segregation	1	8.3819	{'supercog3'}	1
GO:0000822	{'G'}	inositol hexakisphosphate binding	1	12.5238	{'supercog2'}	1
GO:0000902	{'D'}	cell morphogenesis	1	5.644	{'supercog1'}	1
GO:0000904	{'R'}	cell morphogenesis involved in differentiation	1	7.6346	{'general function'}	1
GO:0000908	{'C'}	taurine dioxygenase activity	1	15.0543	{'supercog2'}	1
GO:0000910	{'D'}	cytokinesis	1	7.3054	{'supercog1'}	1
GO:0000912	{'D'}	assembly of actomyosin apparatus involved in cytokinesis	1	11.9023	{'supercog1'}	1
GO:0000915	{'D'}	actomyosin contractile ring assembly	1	11.9205	{'supercog1'}	1
GO:0000917	{'D'}	division septum assembly	1	8.1002	{'supercog1'}	1
GO:0000920	{'D'}	septum digestion after cytokinesis	1	12.832	{'supercog1'}	1
GO:0000921	{'O'}	septin ring assembly	1	12.4169	{'supercog1'}	1
GO:0000922	{'Z'}	spindle pole	1	9.5913	{'supercog1'}	1
GO:0000930	{'O'}	gamma-tubulin complex	1	12.3174	{'supercog1'}	1
GO:0000931	{'O'}	gamma-tubulin ring complex	1	15.4169	{'supercog1'}	1
GO:0000932	{'J'}	P-body	1	9.5949	{'supercog3'}	1
GO:0000938	{'O', 'U'}	GARP complex	2	13.4169	{'supercog1'}	1
GO:0000940	{'O', 'Z'}	outer kinetochore	2	11.9955	{'supercog1'}	1
GO:0000956	{'A', 'K'}	nuclear-transcribed mRNA catabolic process	2	8.4794	{'supercog3'}	1
GO:0000957	{'A'}	mitochondrial RNA catabolic process	1	13.9023	{'supercog3'}	1
GO:0000958	{'A', 'K'}	mitochondrial mRNA catabolic process	2	14.9023	{'supercog3'}	1
GO:0000959	{'A'}	mitochondrial RNA metabolic process	1	10.2019	{'supercog3'}	1
GO:0000960	{'A'}	regulation of mitochondrial RNA catabolic process	1	15.0543	{'supercog3'}	1
GO:0000962	{'A'}	positive regulation of mitochondrial RNA catabolic process	1	15.6393	{'supercog3'}	1
GO:0000963	{'A'}	mitochondrial RNA processing	1	11.4828	{'supercog3'}	1
GO:0000964	{'A'}	mitochondrial RNA 5'-end processing	1	14.2243	{'supercog3'}	1
GO:0000965	{'A'}	mitochondrial RNA 3'-end processing	1	13.1368	{'supercog3'}	1
GO:0000966	{'A'}	RNA 5'-end processing	1	8.4913	{'supercog3'}	1
GO:0000967	{'J'}	rRNA 5'-end processing	1	9.5804	{'supercog3'}	1
GO:0000974	{'O'}	Prp19 complex	1	11.3295	{'supercog1'}	1
GO:0000976	{'K'}	transcription cis-regulatory region binding	1	7.4828	{'supercog3'}	1
GO:0000977	{'K'}	RNA polymerase II transcription regulatory region sequence-specific DNA binding	1	7.8601	{'supercog3'}	1
GO:0000978	{'K'}	RNA polymerase II cis-regulatory region sequence-specific DNA binding	1	8.6487	{'supercog3'}	1
GO:0000979	{'K'}	RNA polymerase II core promoter sequence-specific DNA binding	1	11.6697	{'supercog3'}	1
GO:0000981	{'K'}	DNA-binding transcription factor activity, RNA polymerase II-specific	1	7.7465	{'supercog3'}	1
GO:0000987	{'B'}	cis-regulatory region sequence-specific DNA binding	1	8.5049	{'supercog3'}	1
GO:0000993	{'K'}	RNA polymerase II complex binding	1	10.7896	{'supercog3'}	1
GO:0001046	{'K'}	core promoter sequence-specific DNA binding	1	11.1368	{'supercog3'}	1
GO:0001056	{'B', 'K'}	RNA polymerase III activity	2	11.3663	{'supercog3'}	1
GO:0001067	{'K'}	transcription regulatory region nucleic acid binding	1	6.9137	{'supercog3'}	1
GO:0001098	{'K'}	basal transcription machinery binding	1	10.5032	{'supercog3'}	1
GO:0001099	{'K'}	basal RNA polymerase II transcription machinery binding	1	10.5308	{'supercog3'}	1
GO:0001101	{'T'}	response to acid chemical	1	7.3099	{'supercog1'}	1
GO:0001172	{'K'}	transcription, RNA-templated	1	10.2019	{'supercog3'}	1
GO:0001173	{'K'}	DNA-templated transcriptional start site selection	1	13.3663	{'supercog3'}	1
GO:0001174	{'K'}	transcriptional start site selection at RNA polymerase II promoter	1	13.3663	{'supercog3'}	1
GO:0001216	{'K'}	DNA-binding transcription activator activity	1	9.121	{'supercog3'}	1
GO:0001217	{'K'}	DNA-binding transcription repressor activity	1	9.5877	{'supercog3'}	1
GO:0001227	{'K'}	DNA-binding transcription repressor activity, RNA polymerase II-specific	1	10.1854	{'supercog3'}	1
GO:0001228	{'K'}	DNA-binding transcription activator activity, RNA polymerase II-specific	1	9.5804	{'supercog3'}	1
GO:0001501	{'D'}	skeletal system development	1	8.7772	{'supercog1'}	1
GO:0001503	{'R'}	ossification	1	9.2818	{'general function'}	1
GO:0001504	{'R'}	neurotransmitter uptake	1	12.0148	{'general function'}	1
GO:0001505	{'R'}	regulation of neurotransmitter levels	1	6.7964	{'general function'}	1
GO:0001508	{'P', 'T'}	action potential	2	11.0345	{'supercog2', 'supercog1'}	2
GO:0001510	{'A'}	RNA methylation	1	5.8925	{'supercog3'}	1
GO:0001516	{'H', 'I'}	prostaglandin biosynthetic process	2	11.2356	{'supercog2'}	1
GO:0001518	{'M'}	voltage-gated sodium channel complex	1	13.7648	{'supercog1'}	1
GO:0001522	{'A'}	pseudouridine synthesis	1	8.2144	{'supercog3'}	1
GO:0001523	{'I'}	retinoid metabolic process	1	9.6431	{'supercog2'}	1
GO:0001525	{'D'}	angiogenesis	1	8.213	{'supercog1'}	1
GO:0001527	{'W'}	microfibril	1	14.7648	{'supercog1'}	1
GO:0001530	{'G', 'I'}	lipopolysaccharide binding	2	11.6096	{'supercog2'}	1
GO:0001534	{'O'}	radial spoke	1	15.9023	{'supercog1'}	1
GO:0001539	{'N'}	cilium or flagellum-dependent cell motility	1	8.9979	{'supercog1'}	1
GO:0001540	{'R'}	amyloid-beta binding	1	11.0246	{'general function'}	1
GO:0001541	{'D'}	ovarian follicle development	1	10.9575	{'supercog1'}	1
GO:0001553	{'D', 'T'}	luteinization	2	14.7648	{'supercog1'}	1
GO:0001556	{'D'}	oocyte maturation	1	11.9205	{'supercog1'}	1
GO:0001558	{'Z'}	regulation of cell growth	1	8.5679	{'supercog1'}	1
GO:0001562	{'T'}	response to protozoan	1	11.9205	{'supercog1'}	1
GO:0001568	{'D'}	blood vessel development	1	7.9308	{'supercog1'}	1
GO:0001570	{'D'}	vasculogenesis	1	12.2019	{'supercog1'}	1
GO:0001573	{'G', 'C', 'I'}	ganglioside metabolic process	3	12.6393	{'supercog2'}	1
GO:0001574	{'G'}	ganglioside biosynthetic process	1	14.2243	{'supercog2'}	1
GO:0001575	{'G', 'I'}	globoside metabolic process	2	17.2243	{'supercog2'}	1
GO:0001576	{'G'}	globoside biosynthetic process	1	17.2243	{'supercog2'}	1
GO:0001578	{'Z'}	microtubule bundle formation	1	10.6244	{'supercog1'}	1
GO:0001614	{'F'}	purinergic nucleotide receptor activity	1	13.0148	{'supercog2'}	1
GO:0001616	{'T'}	growth hormone secretagogue receptor activity	1		{'supercog1'}	1
GO:0001618	{'W'}	virus receptor activity	1	11.9763	{'supercog1'}	1
GO:0001621	{'F', 'T'}	G protein-coupled ADP receptor activity	2		{'supercog2', 'supercog1'}	2
GO:0001637	{'T'}	G protein-coupled chemoattractant receptor activity	1	12.6697	{'supercog1'}	1
GO:0001640	{'E'}	adenylate cyclase inhibiting G protein-coupled glutamate receptor activity	1	16.2243	{'supercog2'}	1
GO:0001649	{'D'}	osteoblast differentiation	1	10.4561	{'supercog1'}	1
GO:0001650	{'Y'}	fibrillar center	1	11.4169	{'supercog3'}	1
GO:0001653	{'T'}	peptide receptor activity	1	10.0594	{'supercog1'}	1
GO:0001654	{'D'}	eye development	1	8.832	{'supercog1'}	1
GO:0001655	{'D'}	urogenital system development	1	8.88	{'supercog1'}	1
GO:0001656	{'D'}	metanephros development	1	11.7485	{'supercog1'}	1
GO:0001657	{'D'}	ureteric bud development	1	11.0345	{'supercog1'}	1
GO:0001658	{'D'}	branching involved in ureteric bud morphogenesis	1	11.3539	{'supercog1'}	1
GO:0001659	{'T'}	temperature homeostasis	1	9.6968	{'supercog1'}	1
GO:0001664	{'T'}	G protein-coupled receptor binding	1	8.9883	{'supercog1'}	1
GO:0001666	{'T'}	response to hypoxia	1	8.7105	{'supercog1'}	1
GO:0001667	{'N'}	ameboidal-type cell migration	1	8.6639	{'supercog1'}	1
GO:0001669	{'U', 'M'}	acrosomal vesicle	2	10.6468	{'supercog1'}	1
GO:0001671	{'C', 'T'}	ATPase activator activity	2	10.5448	{'supercog2', 'supercog1'}	2
GO:0001673	{'Y'}	male germ cell nucleus	1	14.0543	{'supercog3'}	1
GO:0001674	{'Y'}	female germ cell nucleus	1	15.0543	{'supercog3'}	1
GO:0001675	{'U'}	acrosome assembly	1	13.7648	{'supercog1'}	1
GO:0001676	{'I'}	long-chain fatty acid metabolic process	1	9.7244	{'supercog2'}	1
GO:0001678	{'G'}	intracellular glucose homeostasis	1	9.7485	{'supercog2'}	1
GO:0001682	{'J'}	tRNA 5'-leader removal	1	9.5204	{'supercog3'}	1
GO:0001692	{'C'}	histamine metabolic process	1	14.2243	{'supercog2'}	1
GO:0001701	{'D'}	in utero embryonic development	1	9.7007	{'supercog1'}	1
GO:0001702	{'D'}	gastrulation with mouth forming second	1	13.0543	{'supercog1'}	1
GO:0001704	{'D'}	formation of primary germ layer	1	10.8406	{'supercog1'}	1
GO:0001716	{'E'}	L-amino-acid oxidase activity	1	12.0745	{'supercog2'}	1
GO:0001725	{'Z'}	stress fiber	1	11.7813	{'supercog1'}	1
GO:0001726	{'N'}	ruffle	1	10.0847	{'supercog1'}	1
GO:0001730	{'P', 'T'}	2'-5'-oligoadenylate synthetase activity	2	13.7648	{'supercog2', 'supercog1'}	2
GO:0001731	{'J'}	formation of translation preinitiation complex	1	11.8149	{'supercog3'}	1
GO:0001732	{'J'}	formation of cytoplasmic translation initiation complex	1	9.8277	{'supercog3'}	1
GO:0001736	{'D'}	establishment of planar polarity	1	10.9297	{'supercog1'}	1
GO:0001738	{'D'}	morphogenesis of a polarized epithelium	1	10.6929	{'supercog1'}	1
GO:0001745	{'D'}	compound eye morphogenesis	1	11.4694	{'supercog1'}	1
GO:0001750	{'M'}	photoreceptor outer segment	1	10.5732	{'supercog1'}	1
GO:0001754	{'D'}	eye photoreceptor cell differentiation	1	11.1475	{'supercog1'}	1
GO:0001758	{'C'}	retinal dehydrogenase activity	1	12.247	{'supercog2'}	1
